	replicates1	replicates2	replicates3
gene242	48	49	42
gene243	51	49	51
gene244	51	37	50
gene245	59	37	55
gene246	40	43	33
gene247	33	41	31
gene248	35	38	41
gene249	33	28	27
gene250	33	50	49
gene251	25	28	25
gene252	46	32	42
gene253	43	42	35
gene254	53	62	38
gene255	33	26	21
gene256	37	43	48
gene257	37	34	50
gene258	33	23	29
gene259	47	44	41
gene260	30	41	52
gene261	38	42	40
gene262	31	37	29
gene263	54	43	50
gene264	51	38	57
gene265	33	28	32
gene266	38	37	33
gene267	34	41	47
gene268	38	41	44
gene269	53	41	55
gene270	22	16	16
gene271	32	38	30
gene272	39	50	44
gene273	40	41	40
gene274	32	30	29
gene275	37	25	36
gene276	34	54	37
gene277	42	50	40
gene278	40	58	49
gene279	44	37	46
gene280	44	44	45
gene281	49	54	41
gene282	31	37	35
gene283	56	54	46
gene284	64	54	58
gene285	56	50	43
gene286	30	48	45
gene287	32	38	28
gene288	35	29	25
gene289	21	33	34
gene290	40	32	36
gene291	44	49	42
gene292	42	38	28
gene293	31	21	32
gene294	36	24	42
gene295	38	32	43
gene296	46	49	46
gene297	53	53	35
gene298	40	46	49
gene299	48	42	44
gene300	38	33	37
gene301	40	50	42
gene302	26	25	37
gene303	34	29	43
gene304	30	44	33
gene305	42	44	38
gene306	44	41	44
gene307	47	35	35
gene308	50	38	40
gene309	43	33	55
gene310	22	36	27
gene311	32	29	33
gene312	46	44	41
gene313	38	38	32
gene314	40	35	39
gene315	42	47	28
gene316	38	60	48
gene317	40	44	47
gene318	31	38	36
gene319	44	48	50
gene320	47	52	53
gene321	34	31	32
gene322	36	31	42
gene323	39	42	41
gene324	48	47	48
gene325	48	23	35
gene326	42	48	36
gene327	33	57	42
gene328	39	30	31
gene329	36	33	41
gene330	58	45	38
gene331	34	29	36
gene332	37	43	44
gene333	32	27	32
gene334	36	40	38
gene335	38	38	40
gene336	33	30	52
gene337	29	23	33
gene338	36	41	41
gene339	32	51	36
gene340	33	37	43
gene341	43	57	43
gene342	33	37	27
gene343	33	33	37
gene344	41	42	69
gene345	54	45	31
gene346	39	37	48
gene347	36	34	35
gene348	35	39	37
gene349	56	44	52
gene350	39	45	46
gene351	41	27	35
gene352	41	38	50
gene353	45	40	37
gene354	33	67	60
gene355	34	45	52
gene356	33	42	44
gene357	33	35	33
gene358	39	46	40
gene359	37	43	43
gene360	47	50	48
gene361	43	58	32
gene362	43	29	31
gene363	28	26	30
gene364	40	55	37
gene365	41	60	39
gene366	37	42	34
gene367	27	36	26
gene368	41	49	38
gene369	32	30	36
gene370	36	42	43
gene371	46	55	51
gene372	57	39	58
gene373	49	71	59
gene374	26	20	22
gene375	53	67	47
gene376	39	58	40
gene377	40	28	51
gene378	47	35	30
gene379	47	37	50
gene380	43	38	40
gene381	37	34	44
gene382	48	52	45
gene383	36	47	44
gene384	48	47	48
gene385	20	28	26
gene386	50	44	39
gene387	39	36	49
gene388	34	34	42
gene389	59	46	52
gene390	36	33	27
gene391	22	23	17
gene392	43	36	40
gene393	45	43	56
gene394	49	29	28
gene395	33	33	40
gene396	63	37	64
gene397	36	38	52
gene398	43	41	41
gene399	37	45	44
gene400	49	45	35
gene401	49	52	37
gene402	43	32	33
gene403	27	30	37
gene404	49	63	56
gene405	34	46	34
gene406	32	44	33
gene407	39	46	44
gene408	35	37	30
gene409	72	66	55
gene410	52	40	53
gene411	30	35	39
gene412	29	36	39
gene413	34	43	45
gene414	43	50	54
gene415	48	49	41
gene416	35	33	33
gene417	31	36	23
gene418	44	36	37
gene419	54	58	56
gene420	39	49	42
gene421	34	39	42
gene422	40	52	52
gene423	56	47	52
gene424	47	58	50
gene425	38	38	45
gene426	54	72	41
gene427	21	29	37
gene428	44	34	38
gene429	35	33	36
gene430	37	42	42
gene431	31	42	45
gene432	37	42	17
gene433	31	34	34
gene434	40	41	46
gene435	46	34	42
gene436	40	49	65
gene437	34	32	39
gene438	54	61	49
gene439	40	28	31
gene440	37	37	38
gene441	46	54	55
gene442	24	23	26
gene443	33	43	34
gene444	37	25	34
gene445	33	47	41
gene446	36	41	37
gene447	41	41	30
gene448	41	47	51
gene449	35	39	43
gene450	24	38	49
gene451	62	57	64
gene452	23	22	30
gene453	37	52	41
gene454	49	47	44
gene455	46	56	44
gene456	47	44	33
gene457	24	41	37
gene458	31	57	43
gene459	54	44	39
gene460	53	40	30
gene461	44	40	43
gene462	45	50	49
gene463	31	37	43
gene464	64	54	43
gene465	46	40	42
gene466	34	42	25
gene467	35	33	32
gene468	50	37	35
gene469	48	32	39
gene470	28	58	48
gene471	44	44	41
gene472	43	51	46
gene473	36	32	27
gene474	34	38	26
gene475	36	25	34
gene476	40	48	36
gene477	39	52	56
gene478	52	62	47
gene479	32	38	44
gene480	36	47	44
gene481	28	39	39
gene482	50	60	61
gene483	50	45	64
gene484	44	34	24
gene485	42	23	44
gene486	37	35	35
gene487	38	35	51
gene488	35	48	48
gene489	57	53	39
gene490	20	31	22
gene491	22	28	23
gene492	43	50	36
gene493	37	32	28
gene494	47	34	41
gene495	60	39	44
gene496	39	31	33
gene497	55	48	45
gene498	48	40	44
gene499	50	47	44
gene500	56	56	38
gene501	52	65	45
gene502	40	51	46
gene503	40	33	25
gene504	32	39	28
gene505	41	48	35
gene506	32	30	36
gene507	39	44	42
gene508	49	33	30
gene509	36	34	36
gene510	45	35	33
gene511	39	36	39
gene512	49	46	39
gene513	38	40	30
gene514	39	33	42
gene515	55	54	41
gene516	32	59	33
gene517	40	44	42
gene518	38	38	27
gene519	44	44	35
gene520	42	36	59
gene521	45	30	40
gene522	49	41	61
gene523	34	41	41
gene524	34	36	45
gene525	43	39	46
gene526	40	41	42
gene527	45	44	61
gene528	53	34	53
gene529	52	44	33
gene530	51	52	43
gene531	28	37	31
gene532	41	30	50
gene533	52	45	44
gene534	50	40	32
gene535	38	45	32
gene536	36	42	41
gene537	39	43	35
gene538	39	39	48
gene539	66	67	68
gene540	43	60	43
gene541	46	44	39
gene542	28	32	33
gene543	45	43	45
gene544	53	57	37
gene545	46	39	53
gene546	57	53	65
gene547	34	41	43
gene548	36	49	40
gene549	45	31	29
gene550	38	37	33
gene551	36	43	26
gene552	53	40	60
gene553	40	45	46
gene554	41	52	50
gene555	37	33	40
gene556	44	50	56
gene557	39	60	49
gene558	60	56	65
gene559	45	47	57
gene560	50	35	42
gene561	47	45	55
gene562	45	49	46
gene563	24	30	26
gene564	76	49	49
gene565	55	52	40
gene566	42	36	44
gene567	32	27	36
gene568	44	54	44
gene569	43	49	33
gene570	53	43	41
gene571	17	31	24
gene572	11	16	19
gene573	32	32	35
gene574	47	46	51
gene575	37	40	46
gene576	35	36	37
gene577	52	49	49
gene578	30	42	33
gene579	34	33	46
gene580	42	39	45
gene581	47	55	57
gene582	59	52	49
gene583	42	32	33
gene584	49	41	58
gene585	67	54	45
gene586	45	49	42
gene587	33	32	52
gene588	38	35	39
gene589	49	50	31
gene590	30	31	30
gene591	34	35	35
gene592	60	36	36
gene593	36	42	44
gene594	39	48	54
gene595	38	37	37
gene596	61	52	30
gene597	58	61	42
gene598	48	38	39
gene599	42	38	43
gene600	30	37	31
gene601	43	37	33
gene602	42	36	35
gene603	36	32	29
gene604	30	19	37
gene605	38	51	44
gene606	30	29	30
gene607	38	32	38
gene608	36	31	50
gene609	32	32	34
gene610	28	32	43
gene611	43	37	52
gene612	52	49	51
gene613	42	33	41
gene614	32	26	19
gene615	39	50	45
gene616	21	27	27
gene617	25	35	33
gene618	34	45	62
gene619	22	26	38
gene620	45	44	50
gene621	32	40	37
gene622	35	38	35
gene623	30	34	37
gene624	32	42	34
gene625	32	33	36
gene626	37	38	45
gene627	38	53	45
gene628	39	42	30
gene629	29	41	32
gene630	43	42	45
gene631	30	33	36
gene632	36	38	38
gene633	44	43	56
gene634	54	38	44
gene635	47	51	50
gene636	46	64	47
gene637	58	50	48
gene638	26	31	31
gene639	34	39	33
gene640	45	33	33
gene641	46	36	41
gene642	43	38	36
gene643	49	60	43
gene644	40	30	41
gene645	49	39	51
gene646	25	27	25
gene647	35	20	29
gene648	40	52	48
gene649	48	40	48
gene650	23	39	16
gene651	42	40	50
gene652	32	38	41
gene653	44	38	44
gene654	35	40	40
gene655	28	35	40
gene656	33	41	44
gene657	38	45	56
gene658	43	50	45
gene659	46	36	46
gene660	38	26	36
gene661	56	40	40
gene662	37	45	41
gene663	34	44	39
gene664	38	33	41
gene665	43	45	37
gene666	41	52	54
gene667	55	40	29
gene668	46	46	43
gene669	52	39	49
gene670	48	36	30
gene671	33	31	34
gene672	32	40	22
gene673	34	38	35
gene674	26	38	26
gene675	41	49	37
gene676	30	21	29
gene677	35	32	35
gene678	39	31	39
gene679	40	49	52
gene680	54	39	49
gene681	40	42	36
gene682	32	34	46
gene683	38	45	40
gene684	35	31	47
gene685	55	43	48
gene686	37	28	47
gene687	34	39	39
gene688	35	44	37
gene689	36	33	31
gene690	46	47	54
gene691	21	23	23
gene692	46	32	43
gene693	20	38	23
gene694	53	35	34
gene695	28	45	33
gene696	38	27	41
gene697	34	45	35
gene698	23	45	35
gene699	34	50	46
gene700	49	52	47
gene701	42	49	47
gene702	23	33	30
gene703	34	45	37
gene704	33	41	45
gene705	33	36	34
gene706	30	33	29
gene707	34	27	24
gene708	32	23	30
gene709	59	57	46
gene710	33	30	42
gene711	32	25	41
gene712	32	31	36
gene713	45	53	36
gene714	62	68	52
gene715	43	41	38
gene716	57	51	36
gene717	45	44	54
gene718	43	34	41
gene719	44	36	24
gene720	56	60	68
gene721	38	30	30
gene722	42	37	31
gene723	35	35	33
gene724	68	46	42
gene725	49	43	41
gene726	47	54	56
gene727	43	39	46
gene728	28	37	38
gene729	37	37	37
gene730	37	33	34
gene731	50	41	44
gene732	22	24	22
gene733	37	34	38
gene734	45	57	56
gene735	26	28	34
gene736	43	39	19
gene737	26	28	31
gene738	42	42	37
gene739	48	38	45
gene740	40	42	24
gene741	36	43	41
gene742	51	39	54
gene743	52	48	44
gene744	31	32	46
gene745	40	45	36
gene746	29	32	34
gene747	52	48	48
gene748	40	47	39
gene749	46	40	44
gene750	43	34	41
gene751	42	42	58
gene752	39	44	55
gene753	25	32	41
gene754	29	45	35
gene755	37	32	21
gene756	58	49	30
gene757	63	54	60
gene758	52	44	57
gene759	33	44	48
gene760	46	40	52
gene761	35	47	31
gene762	38	42	49
gene763	52	53	45
gene764	51	35	29
gene765	42	41	26
gene766	19	35	45
gene767	36	30	35
gene768	42	43	48
gene769	37	28	38
gene770	30	36	38
gene771	47	30	38
gene772	33	28	39
gene773	52	46	51
gene774	25	40	32
gene775	31	41	41
gene776	19	26	31
gene777	32	31	25
gene778	30	34	44
gene779	43	46	47
gene780	33	58	37
gene781	40	43	40
gene782	52	41	47
gene783	37	46	38
gene784	45	46	37
gene785	44	44	47
gene786	32	34	37
gene787	65	53	59
gene788	35	34	43
gene789	33	27	42
gene790	28	35	27
gene791	39	34	41
gene792	45	38	64
gene793	39	36	33
gene794	29	25	24
gene795	32	28	31
gene796	42	31	36
gene797	39	45	51
gene798	52	34	28
gene799	35	35	33
gene800	45	40	38
gene801	25	26	31
gene802	42	56	35
gene803	38	42	35
gene804	44	51	46
gene805	24	42	30
gene806	61	46	39
gene807	34	39	27
gene808	43	43	55
gene809	25	31	32
gene810	48	39	54
gene811	42	43	45
gene812	37	33	41
gene813	55	39	26
gene814	29	23	37
gene815	42	37	41
gene816	41	43	43
gene817	36	38	37
gene818	33	28	20
gene819	39	35	46
gene820	37	28	37
gene821	25	32	33
gene822	35	46	39
gene823	26	27	39
gene824	37	39	40
gene825	33	42	46
gene826	34	47	50
gene827	42	32	39
gene828	33	33	46
gene829	36	30	43
gene830	52	58	57
gene831	48	44	42
gene832	57	62	51
gene833	43	44	46
gene834	38	43	35
gene835	29	32	31
gene836	41	26	34
gene837	30	24	31
gene838	48	48	41
gene839	33	35	33
gene840	37	51	41
gene841	43	43	35
gene842	19	33	30
gene843	24	32	29
gene844	51	47	46
gene845	27	22	28
gene846	42	43	46
gene847	50	47	39
gene848	47	41	39
gene849	50	47	56
gene850	36	50	53
gene851	43	39	45
gene852	51	43	33
gene853	32	33	33
gene854	52	45	45
gene855	22	28	30
gene856	46	40	37
gene857	39	45	43
gene858	36	46	50
gene859	48	31	38
gene860	47	41	39
gene861	37	36	27
gene862	32	28	36
gene863	35	40	39
gene864	46	41	56
gene865	44	30	37
gene866	34	39	47
gene867	35	31	47
gene868	62	46	43
gene869	48	43	32
gene870	41	38	46
gene871	37	37	25
gene872	32	28	34
gene873	29	33	49
gene874	47	51	53
gene875	43	39	52
gene876	48	33	40
gene877	49	40	45
gene878	41	36	41
gene879	52	38	35
gene880	51	38	36
gene881	43	40	50
gene882	34	17	31
gene883	33	33	28
gene884	43	33	37
gene885	37	45	45
gene886	37	35	42
gene887	41	27	25
gene888	44	43	32
gene889	30	26	27
gene890	25	35	34
gene891	34	31	33
gene892	40	38	52
gene893	44	50	46
gene894	37	38	47
gene895	28	32	38
gene896	49	47	38
gene897	34	44	52
gene898	37	42	38
gene899	59	44	57
gene900	33	31	27
gene901	53	61	59
gene902	29	35	34
gene903	37	47	43
gene904	32	27	31
gene905	42	30	43
gene906	30	38	37
gene907	34	35	30
gene908	15	29	27
gene909	24	18	19
gene910	38	58	35
gene911	43	68	30
gene912	48	39	48
gene913	31	32	32
gene914	45	64	49
gene915	59	54	47
gene916	27	31	34
gene917	47	65	39
gene918	37	33	43
gene919	48	59	58
gene920	31	36	39
gene921	24	27	25
gene922	52	32	46
gene923	40	33	40
gene924	39	47	39
gene925	32	49	40
gene926	23	19	28
gene927	52	37	38
gene928	33	34	40
gene929	50	47	50
gene930	25	41	19
gene931	35	25	32
gene932	35	34	31
gene933	62	68	48
gene934	40	54	39
gene935	40	35	37
gene936	44	31	62
gene937	50	45	37
gene938	36	21	29
gene939	45	43	31
gene940	46	40	48
gene941	30	34	50
gene942	40	42	40
gene943	41	34	38
gene944	30	46	32
gene945	38	28	44
gene946	34	40	31
gene947	39	40	32
gene948	53	50	56
gene949	50	59	44
gene950	42	41	43
gene951	52	43	46
gene952	24	33	35
gene953	41	40	32
gene954	42	38	35
gene955	55	40	51
gene956	48	52	46
gene957	41	44	37
gene958	36	35	34
gene959	37	40	41
gene960	48	61	48
gene961	35	48	39
gene962	36	29	34
gene963	57	62	63
gene964	22	27	34
gene965	16	28	30
gene966	44	41	42
gene967	47	38	36
gene968	47	50	62
gene969	42	47	53
gene970	32	38	38
gene971	37	46	31
gene972	53	36	59
gene973	49	44	54
gene974	44	48	40
gene975	32	34	31
gene976	30	30	28
gene977	55	38	48
gene978	28	48	37
gene979	55	52	62
gene980	30	45	35
gene981	40	37	40
gene982	54	33	38
gene983	30	32	38
gene984	29	40	35
gene985	34	40	40
gene986	33	36	32
gene987	37	35	36
gene988	34	43	18
gene989	39	40	35
gene990	41	51	42
gene991	40	43	39
gene992	45	29	42
gene993	44	37	48
gene994	25	40	32
gene995	42	32	34
gene996	41	51	39
gene997	54	29	40
gene998	37	51	50
gene999	44	57	43
gene1000	56	49	48
gene1001	6	9	4
gene1002	2	1	2
gene1003	1	3	5
gene1004	1	2	8
gene1005	7	6	3
gene1006	11	5	4
gene1007	3	4	3
gene1008	2	6	3
gene1009	5	5	6
gene1010	3	6	4
gene1011	2	0	2
gene1012	5	6	11
gene1013	7	2	2
gene1014	9	6	9
gene1015	2	1	2
gene1016	0	5	1
gene1017	4	5	4
gene1018	8	2	2
gene1019	7	7	6
gene1020	2	4	4
gene1021	2	4	2
gene1022	5	4	6
gene1023	6	8	7
gene1024	6	1	8
gene1025	1	5	3
gene1026	10	4	7
gene1027	7	11	9
gene1028	5	2	5
gene1029	1	3	10
gene1030	3	7	5
gene1031	9	7	7
gene1032	0	0	0
gene1033	2	5	1
gene1034	4	5	6
gene1035	8	6	6
gene1036	9	10	8
gene1037	10	4	9
gene1038	7	3	6
gene1039	9	9	7
gene1040	5	2	9
gene1041	9	9	14
gene1042	8	4	6
gene1043	4	4	1
gene1044	1	2	3
gene1045	7	4	5
gene1046	6	8	6
gene1047	4	5	2
gene1048	2	2	1
gene1049	4	1	2
gene1050	4	2	3
gene1051	3	3	3
gene1052	5	5	13
gene1053	7	6	2
gene1054	3	5	6
gene1055	8	5	10
gene1056	10	6	5
gene1057	8	10	2
gene1058	2	2	4
gene1059	5	2	2
gene1060	3	4	0
gene1061	7	3	4
gene1062	4	6	1
gene1063	11	7	11
gene1064	8	4	5
gene1065	2	1	1
gene1066	2	3	6
gene1067	9	6	7
gene1068	6	1	4
gene1069	1	0	0
gene1070	11	2	5
gene1071	4	8	12
gene1072	5	4	4
gene1073	5	8	10
gene1074	1	7	5
gene1075	5	5	5
gene1076	7	7	2
gene1077	4	5	7
gene1078	4	3	3
gene1079	0	0	0
gene1080	12	4	8
gene1081	5	4	4
gene1082	5	5	4
gene1083	7	5	1
gene1084	13	9	18
gene1085	5	1	2
gene1086	10	4	9
gene1087	2	2	4
gene1088	5	1	4
gene1089	3	3	2
gene1090	4	7	6
gene1091	4	0	1
gene1092	6	4	8
gene1093	3	7	4
gene1094	3	3	3
gene1095	5	7	6
gene1096	3	6	4
gene1097	2	8	5
gene1098	6	12	4
gene1099	5	3	7
gene1100	1	1	1
gene1101	12	5	4
gene1102	9	6	10
gene1103	3	1	1
gene1104	6	7	9
gene1105	5	5	5
gene1106	11	5	3
gene1107	3	5	8
gene1108	0	6	3
gene1109	2	6	2
gene1110	2	5	6
gene1111	4	5	7
gene1112	8	6	5
gene1113	6	5	12
gene1114	4	4	4
gene1115	3	3	4
gene1116	0	4	3
gene1117	3	2	1
gene1118	3	3	4
gene1119	5	9	6
gene1120	12	5	9
gene1121	1	2	1
gene1122	3	3	5
gene1123	7	9	5
gene1124	1	5	6
gene1125	1	1	1
gene1126	8	13	4
gene1127	4	6	5
gene1128	4	3	4
gene1129	5	2	6
gene1130	2	6	6
gene1131	8	11	6
gene1132	10	8	11
gene1133	4	10	5
gene1134	9	9	14
gene1135	1	3	1
gene1136	5	5	5
gene1137	8	3	2
gene1138	7	6	8
gene1139	5	6	4
gene1140	7	6	7
gene1141	2	4	6
gene1142	3	6	2
gene1143	6	3	7
gene1144	0	0	2
gene1145	3	5	6
gene1146	9	3	7
gene1147	2	2	5
gene1148	10	7	6
gene1149	4	6	10
gene1150	2	10	8
gene1151	11	5	7
gene1152	3	3	1
gene1153	1	2	2
gene1154	1	1	0
gene1155	7	7	10
gene1156	4	10	4
gene1157	5	3	7
gene1158	2	1	2
gene1159	8	10	14
gene1160	17	9	9
gene1161	2	4	6
gene1162	2	10	7
gene1163	1	6	8
gene1164	0	2	7
gene1165	6	6	2
gene1166	3	2	0
gene1167	6	6	2
gene1168	3	3	1
gene1169	8	5	7
gene1170	3	6	4
gene1171	4	1	1
gene1172	1	2	4
gene1173	7	11	8
gene1174	7	2	6
gene1175	6	2	5
gene1176	9	10	5
gene1177	6	7	7
gene1178	4	6	10
gene1179	3	2	4
gene1180	5	3	6
gene1181	5	4	2
gene1182	4	5	7
gene1183	6	5	5
gene1184	10	7	7
gene1185	5	4	7
gene1186	7	4	3
gene1187	13	14	23
gene1188	8	3	3
gene1189	4	4	5
gene1190	2	4	5
gene1191	2	1	5
gene1192	6	5	5
gene1193	1	9	3
gene1194	1	11	11
gene1195	6	6	7
gene1196	5	7	3
gene1197	7	4	12
gene1198	10	5	7
gene1199	3	0	3
gene1200	1	1	3
gene1201	2	3	3
gene1202	8	6	8
gene1203	2	1	8
gene1204	7	9	5
gene1205	10	6	7
gene1206	2	9	3
gene1207	1	2	5
gene1208	6	4	9
gene1209	5	9	4
gene1210	5	6	3
gene1211	6	3	1
gene1212	7	4	4
gene1213	10	5	2
gene1214	7	4	3
gene1215	2	2	6
gene1216	4	6	6
gene1217	4	1	4
gene1218	3	1	5
gene1219	10	3	5
gene1220	10	11	10
gene1221	2	0	5
gene1222	1	5	2
gene1223	4	5	9
gene1224	4	5	4
gene1225	7	11	5
gene1226	3	4	2
gene1227	5	6	1
gene1228	7	5	11
gene1229	11	4	4
gene1230	4	0	4
gene1231	13	5	10
gene1232	7	9	6
gene1233	4	4	3
gene1234	3	7	4
gene1235	5	6	5
gene1236	4	10	3
gene1237	1	0	0
gene1238	6	5	3
gene1239	3	4	7
gene1240	0	0	0
gene1241	6	5	8
gene1242	4	2	3
gene1243	10	5	5
gene1244	11	4	5
gene1245	8	8	5
gene1246	4	2	3
gene1247	4	5	5
gene1248	6	7	7
gene1249	9	5	6
gene1250	4	0	2
gene1251	7	7	8
gene1252	4	4	6
gene1253	5	7	6
gene1254	3	8	3
gene1255	6	2	5
gene1256	4	4	8
gene1257	5	2	3
gene1258	1	3	3
gene1259	8	8	6
gene1260	3	4	3
gene1261	10	4	6
gene1262	5	7	2
gene1263	6	4	5
gene1264	5	3	4
gene1265	1	4	4
gene1266	8	13	3
gene1267	6	1	1
gene1268	2	4	2
gene1269	8	2	7
gene1270	6	1	3
gene1271	6	1	1
gene1272	3	3	5
gene1273	5	6	4
gene1274	1	1	3
gene1275	2	4	5
gene1276	2	7	1
gene1277	7	3	5
gene1278	7	8	7
gene1279	5	4	7
gene1280	3	3	1
gene1281	6	3	5
gene1282	6	7	17
gene1283	3	1	7
gene1284	0	3	1
gene1285	4	4	3
gene1286	6	3	5
gene1287	1	4	2
gene1288	5	6	4
gene1289	10	8	7
gene1290	6	1	5
gene1291	0	2	4
gene1292	12	8	11
gene1293	7	7	4
gene1294	4	7	9
gene1295	5	5	4
gene1296	1	1	1
gene1297	4	0	0
gene1298	7	3	3
gene1299	3	6	4
gene1300	18	7	13
gene1301	5	2	4
gene1302	13	15	10
gene1303	3	1	5
gene1304	10	6	10
gene1305	2	1	0
gene1306	7	3	4
gene1307	0	2	0
gene1308	0	3	0
gene1309	0	4	2
gene1310	6	5	3
gene1311	10	9	2
gene1312	6	6	5
gene1313	8	4	9
gene1314	4	3	5
gene1315	5	6	6
gene1316	7	5	5
gene1317	3	8	8
gene1318	12	10	4
gene1319	4	4	2
gene1320	0	4	0
gene1321	4	2	0
gene1322	3	5	1
gene1323	3	0	3
gene1324	16	12	15
gene1325	1	1	1
gene1326	4	4	2
gene1327	1	2	4
gene1328	6	4	5
gene1329	5	3	4
gene1330	2	4	0
gene1331	7	5	5
gene1332	3	6	7
gene1333	1	2	2
gene1334	7	4	2
gene1335	6	3	3
gene1336	0	0	0
gene1337	5	1	3
gene1338	7	16	6
gene1339	10	6	3
gene1340	2	1	2
gene1341	1	2	0
gene1342	2	7	6
gene1343	4	4	8
gene1344	3	6	2
gene1345	5	7	6
gene1346	1	4	3
gene1347	0	1	5
gene1348	8	10	5
gene1349	5	7	3
gene1350	3	2	0
gene1351	9	4	5
gene1352	4	6	3
gene1353	5	6	9
gene1354	3	1	4
gene1355	3	4	3
gene1356	1	2	1
gene1357	7	3	4
gene1358	1	3	0
gene1359	4	4	1
gene1360	2	3	2
