	replicates1	replicates2	replicates3
gene619	18	11	11
gene620	10	16	9
gene621	26	21	21
gene622	39	39	22
gene623	8	15	20
gene624	14	12	10
gene625	24	35	20
gene626	19	26	19
gene627	14	23	22
gene628	21	18	19
gene629	25	20	26
gene630	31	21	26
gene631	30	17	16
gene632	15	14	18
gene633	36	39	38
gene634	6	12	11
gene635	21	29	28
gene636	22	19	18
gene637	31	30	22
gene638	16	24	19
gene639	14	14	14
gene640	24	17	15
gene641	33	27	15
gene642	24	21	18
gene643	11	7	9
gene644	22	37	35
gene645	13	14	14
gene646	20	16	17
gene647	28	24	26
gene648	16	9	10
gene649	21	23	18
gene650	16	20	14
gene651	7	11	11
gene652	6	9	5
gene653	11	11	5
gene654	26	16	26
gene655	27	19	26
gene656	22	25	20
gene657	21	20	19
gene658	30	34	24
gene659	21	23	21
gene660	22	18	29
gene661	33	23	22
gene662	27	20	36
gene663	21	34	25
gene664	21	34	29
gene665	30	40	32
gene666	29	26	25
gene667	13	12	16
gene668	18	16	10
gene669	40	28	31
gene670	13	24	19
gene671	24	18	18
gene672	22	22	25
gene673	33	17	26
gene674	11	11	15
gene675	37	24	33
gene676	8	13	12
gene677	24	24	18
gene678	6	6	5
gene679	21	18	16
gene680	20	20	26
gene681	26	20	17
gene682	24	20	17
gene683	20	25	14
gene684	24	19	35
gene685	7	12	6
gene686	10	23	15
gene687	14	21	25
gene688	38	36	21
gene689	24	32	22
gene690	13	20	21
gene691	7	24	14
gene692	20	13	11
gene693	25	40	21
gene694	20	22	27
gene695	22	26	19
gene696	24	25	16
gene697	16	16	21
gene698	17	19	16
gene699	8	13	10
gene700	16	14	22
gene701	22	26	19
gene702	24	23	23
gene703	26	26	26
gene704	30	35	31
gene705	14	8	13
gene706	25	29	21
gene707	17	10	19
gene708	9	13	10
gene709	26	18	16
gene710	13	12	13
gene711	16	14	16
gene712	24	23	22
gene713	19	13	15
gene714	30	20	40
gene715	21	15	24
gene716	17	13	17
gene717	28	21	31
gene718	22	17	16
gene719	23	23	30
gene720	6	14	16
gene721	27	34	26
gene722	16	16	17
gene723	18	23	24
gene724	14	10	13
gene725	29	33	28
gene726	31	26	32
gene727	20	31	23
gene728	29	24	21
gene729	9	10	9
gene730	27	23	16
gene731	22	35	27
gene732	33	35	39
gene733	11	12	16
gene734	29	29	35
gene735	29	25	16
gene736	22	19	18
gene737	17	18	19
gene738	29	32	31
gene739	15	9	12
gene740	15	15	19
gene741	20	10	19
gene742	16	19	17
gene743	13	16	17
gene744	16	13	12
gene745	16	17	18
gene746	15	14	10
gene747	21	25	18
gene748	19	29	23
gene749	13	9	15
gene750	9	11	9
gene751	12	15	11
gene752	24	21	18
gene753	17	12	17
gene754	20	22	16
gene755	20	24	22
gene756	14	9	9
gene757	35	26	27
gene758	12	16	18
gene759	37	37	35
gene760	22	18	17
gene761	17	14	6
gene762	25	21	34
gene763	20	12	19
gene764	20	26	23
gene765	19	24	17
gene766	20	17	18
gene767	9	7	8
gene768	47	42	41
gene769	17	18	25
gene770	13	14	16
gene771	16	17	15
gene772	19	22	21
gene773	17	16	21
gene774	26	15	14
gene775	6	10	10
gene776	32	35	34
gene777	23	31	16
gene778	14	8	15
gene779	11	20	16
gene780	19	12	8
gene781	23	21	26
gene782	25	16	16
gene783	24	21	36
gene784	15	8	15
gene785	23	39	31
gene786	16	13	18
gene787	23	16	20
gene788	26	33	31
gene789	26	23	26
gene790	19	18	13
gene791	17	14	19
gene792	13	9	7
gene793	25	22	22
gene794	15	9	18
gene795	15	17	20
gene796	16	15	16
gene797	28	28	30
gene798	41	23	38
gene799	11	13	14
gene800	31	21	20
gene801	21	23	19
gene802	32	25	27
gene803	8	10	3
gene804	11	9	12
gene805	22	25	21
gene806	35	27	24
gene807	14	15	19
gene808	24	24	11
gene809	13	13	15
gene810	29	33	22
gene811	39	29	28
gene812	28	35	33
gene813	16	17	18
gene814	10	18	24
gene815	39	42	39
gene816	13	7	12
gene817	12	13	14
gene818	38	15	24
gene819	27	24	35
gene820	21	24	23
gene821	26	22	26
gene822	28	18	22
gene823	32	27	22
gene824	18	26	22
gene825	26	19	23
gene826	14	10	11
gene827	17	23	21
gene828	11	31	25
gene829	14	15	16
gene830	11	12	12
gene831	8	13	20
gene832	35	25	16
gene833	22	29	25
gene834	16	26	23
gene835	21	14	14
gene836	21	28	20
gene837	6	1	8
gene838	12	10	13
gene839	19	21	20
gene840	21	22	23
gene841	34	32	22
gene842	9	17	19
gene843	20	21	21
gene844	28	26	17
gene845	10	16	7
gene846	9	9	9
gene847	18	14	25
gene848	7	10	12
gene849	6	11	10
gene850	27	21	25
gene851	22	28	19
gene852	15	22	17
gene853	9	19	24
gene854	35	34	23
gene855	27	20	28
gene856	12	20	20
gene857	20	19	18
gene858	30	22	21
gene859	22	22	17
gene860	16	25	21
gene861	19	29	13
gene862	13	16	15
gene863	24	19	19
gene864	29	24	17
gene865	11	7	14
gene866	25	28	20
gene867	13	26	21
gene868	16	13	12
gene869	39	40	38
gene870	21	17	25
gene871	27	27	32
gene872	20	21	26
gene873	26	13	17
gene874	11	22	18
gene875	19	12	14
gene876	28	43	41
gene877	30	28	25
gene878	14	20	23
gene879	10	16	16
gene880	38	24	33
gene881	17	23	17
gene882	22	30	17
gene883	19	19	11
gene884	15	18	14
gene885	17	21	24
gene886	17	16	19
gene887	22	25	24
gene888	10	21	9
gene889	15	21	22
gene890	19	22	20
gene891	10	18	20
gene892	12	15	14
gene893	23	21	27
gene894	9	7	11
gene895	26	13	22
gene896	13	18	18
gene897	12	20	15
gene898	20	20	23
gene899	5	12	5
gene900	5	6	8
gene901	22	20	25
gene902	29	23	16
gene903	22	16	25
gene904	12	11	14
gene905	20	17	22
gene906	36	23	19
gene907	10	13	11
gene908	19	23	18
gene909	23	22	32
gene910	20	20	24
gene911	11	13	7
gene912	9	12	18
gene913	24	30	36
gene914	23	13	25
gene915	21	19	31
gene916	13	11	9
gene917	28	29	25
gene918	17	16	15
gene919	32	20	24
gene920	27	32	30
gene921	7	21	19
gene922	15	27	15
gene923	18	15	19
gene924	14	10	8
gene925	26	19	22
gene926	30	23	26
gene927	21	12	21
gene928	17	21	17
gene929	27	36	25
gene930	20	30	35
gene931	27	20	21
gene932	17	17	10
gene933	15	19	15
gene934	26	28	21
gene935	16	23	33
gene936	9	11	19
gene937	27	36	22
gene938	11	7	13
gene939	18	22	13
gene940	20	21	20
gene941	21	22	17
gene942	15	14	11
gene943	10	17	12
gene944	20	19	23
gene945	12	12	19
gene946	16	14	18
gene947	14	16	18
gene948	22	20	25
gene949	24	16	16
gene950	19	15	23
gene951	25	28	19
gene952	33	28	30
gene953	16	22	27
gene954	13	24	18
gene955	15	17	15
gene956	30	19	27
gene957	23	25	27
gene958	19	18	17
gene959	12	8	11
gene960	22	18	17
gene961	30	31	24
gene962	25	22	20
gene963	30	20	12
gene964	17	29	18
gene965	24	26	28
gene966	17	20	18
gene967	27	35	33
gene968	30	20	21
gene969	13	20	27
gene970	28	30	27
gene971	37	50	55
gene972	24	19	20
gene973	23	23	22
gene974	12	18	17
gene975	12	10	10
gene976	26	21	28
gene977	20	16	21
gene978	9	9	11
gene979	17	16	14
gene980	7	11	6
gene981	17	17	16
gene982	17	14	15
gene983	23	13	17
gene984	9	9	13
gene985	35	37	25
gene986	26	32	23
gene987	6	11	11
gene988	24	8	18
gene989	18	12	14
gene990	13	12	13
gene991	14	11	10
gene992	10	20	18
gene993	18	16	10
gene994	9	17	6
gene995	28	17	11
gene996	17	11	20
gene997	17	18	17
gene998	12	11	12
gene999	31	19	32
gene1000	21	16	10
gene1001	24	28	23
gene1002	15	16	18
gene1003	8	12	6
gene1004	20	21	22
gene1005	10	10	10
gene1006	25	21	20
gene1007	27	18	37
gene1008	16	21	22
gene1009	21	18	15
gene1010	17	20	17
gene1011	25	25	19
gene1012	23	38	25
gene1013	12	23	15
gene1014	28	21	21
gene1015	13	18	22
gene1016	20	21	18
gene1017	10	24	14
gene1018	20	17	28
gene1019	24	20	8
gene1020	19	13	21
gene1021	20	13	19
gene1022	8	9	15
gene1023	26	32	40
gene1024	20	23	26
gene1025	20	24	15
gene1026	15	17	15
gene1027	20	27	19
gene1028	33	35	29
gene1029	8	22	14
gene1030	16	15	28
gene1031	13	18	14
gene1032	28	32	19
gene1033	23	27	21
gene1034	12	22	15
gene1035	16	20	19
gene1036	22	25	23
gene1037	24	22	18
gene1038	24	25	22
gene1039	25	27	21
gene1040	35	27	40
gene1041	17	23	23
gene1042	22	24	31
gene1043	19	19	19
gene1044	14	11	17
gene1045	17	10	26
gene1046	25	24	24
gene1047	14	12	14
gene1048	14	16	22
gene1049	19	20	16
gene1050	16	24	18
gene1051	19	27	22
gene1052	28	29	35
gene1053	28	34	25
gene1054	28	27	30
gene1055	19	24	21
gene1056	17	25	43
gene1057	16	16	18
gene1058	24	20	16
gene1059	16	15	18
gene1060	18	12	16
gene1061	17	17	22
gene1062	11	11	12
gene1063	10	11	18
gene1064	16	25	16
gene1065	19	31	19
gene1066	23	29	34
gene1067	22	23	34
gene1068	30	25	24
gene1069	22	21	29
gene1070	20	14	13
gene1071	27	18	19
gene1072	33	33	23
gene1073	19	16	21
gene1074	14	14	14
gene1075	24	26	33
gene1076	28	18	29
gene1077	24	34	27
gene1078	15	16	14
gene1079	24	22	22
gene1080	16	21	16
gene1081	19	19	18
gene1082	14	13	11
gene1083	22	13	25
gene1084	31	31	36
gene1085	19	18	13
gene1086	8	9	9
gene1087	28	20	15
gene1088	24	30	33
gene1089	24	24	21
gene1090	19	18	16
gene1091	31	25	22
gene1092	18	18	21
gene1093	25	23	25
gene1094	14	15	19
gene1095	21	24	25
gene1096	23	23	25
gene1097	30	25	28
gene1098	9	8	16
gene1099	9	11	16
gene1100	24	15	21
gene1101	27	26	25
gene1102	12	6	9
gene1103	24	25	20
gene1104	26	21	20
gene1105	19	18	26
gene1106	37	27	20
gene1107	20	19	15
gene1108	22	23	27
gene1109	11	26	16
gene1110	12	16	25
gene1111	23	21	27
gene1112	30	15	21
gene1113	27	37	30
gene1114	32	42	45
gene1115	18	19	19
gene1116	17	28	18
gene1117	30	39	27
gene1118	20	22	29
gene1119	9	17	17
gene1120	12	21	30
gene1121	14	32	18
gene1122	33	19	37
gene1123	33	36	44
gene1124	27	19	20
gene1125	20	18	22
gene1126	28	36	45
gene1127	18	16	20
gene1128	20	29	18
gene1129	25	30	22
gene1130	24	14	13
gene1131	19	19	13
gene1132	31	31	34
gene1133	40	37	30
gene1134	22	22	26
gene1135	13	28	32
gene1136	18	14	13
gene1137	17	14	19
gene1138	14	23	17
gene1139	21	12	20
gene1140	27	30	22
gene1141	23	34	37
gene1142	38	26	31
gene1143	24	29	21
gene1144	27	21	15
gene1145	30	29	31
gene1146	22	24	16
gene1147	21	19	12
gene1148	12	23	13
gene1149	19	21	22
gene1150	16	9	15
gene1151	15	21	23
gene1152	11	9	11
gene1153	20	21	17
gene1154	23	24	15
gene1155	19	29	18
gene1156	24	21	20
gene1157	16	29	30
gene1158	25	20	11
gene1159	17	11	12
gene1160	38	21	34
gene1161	23	26	23
gene1162	19	22	14
gene1163	10	7	9
gene1164	35	42	45
gene1165	14	8	12
gene1166	37	31	31
gene1167	22	21	23
gene1168	20	17	23
gene1169	12	12	14
gene1170	24	12	7
gene1171	19	21	12
gene1172	25	18	12
gene1173	8	10	14
gene1174	33	32	27
gene1175	14	13	19
gene1176	5	3	13
gene1177	13	5	19
gene1178	18	21	21
gene1179	12	7	9
gene1180	25	20	15
gene1181	12	6	7
gene1182	21	12	14
gene1183	21	15	13
gene1184	39	41	28
gene1185	25	17	20
gene1186	19	25	22
gene1187	8	23	21
gene1188	13	20	15
gene1189	16	25	27
gene1190	21	21	24
gene1191	21	15	10
gene1192	11	10	16
gene1193	20	10	12
gene1194	4	9	4
gene1195	31	28	29
gene1196	26	21	24
gene1197	19	13	17
gene1198	36	21	21
gene1199	19	25	25
gene1200	14	10	11
gene1201	13	21	22
gene1202	24	21	23
gene1203	22	17	24
gene1204	36	37	47
gene1205	29	21	28
gene1206	12	11	10
gene1207	21	24	24
gene1208	17	16	18
gene1209	8	12	13
gene1210	25	25	15
gene1211	25	21	21
gene1212	20	16	22
gene1213	24	17	11
gene1214	7	12	15
gene1215	25	28	32
gene1216	20	27	28
gene1217	29	34	22
gene1218	16	7	11
gene1219	16	18	16
gene1220	15	22	16
gene1221	24	22	26
gene1222	19	24	18
gene1223	10	12	12
gene1224	23	16	19
gene1225	14	14	9
gene1226	24	19	17
gene1227	19	10	7
gene1228	24	30	34
gene1229	15	17	18
gene1230	37	36	27
gene1231	20	22	22
gene1232	12	19	16
gene1233	16	17	26
gene1234	31	40	44
gene1235	18	15	14
gene1236	17	12	15
gene1237	14	16	11
gene1238	25	16	22
gene1239	16	21	20
gene1240	32	25	35
gene1241	34	52	29
gene1242	11	10	20
gene1243	26	29	18
gene1244	22	27	18
gene1245	24	34	31
gene1246	17	19	13
gene1247	33	25	26
gene1248	25	24	25
gene1249	20	21	10
gene1250	21	15	13
gene1251	28	29	27
gene1252	37	15	11
gene1253	25	19	19
gene1254	21	21	21
gene1255	40	20	26
gene1256	26	25	28
gene1257	18	16	12
gene1258	25	29	39
gene1259	14	16	12
gene1260	22	23	20
gene1261	35	40	36
gene1262	30	33	20
gene1263	27	30	27
gene1264	33	34	30
gene1265	18	28	21
gene1266	13	15	7
gene1267	23	15	15
gene1268	21	23	24
gene1269	25	23	21
gene1270	20	16	31
gene1271	21	29	24
gene1272	19	16	14
gene1273	18	11	17
gene1274	9	17	14
gene1275	20	22	21
gene1276	23	19	23
gene1277	20	21	21
gene1278	9	19	7
gene1279	19	20	16
gene1280	24	32	26
gene1281	12	16	10
gene1282	26	19	26
gene1283	27	30	33
gene1284	34	34	43
gene1285	23	23	20
gene1286	26	21	27
gene1287	18	12	17
gene1288	13	10	7
gene1289	22	17	26
gene1290	16	27	20
gene1291	29	31	32
gene1292	13	13	10
gene1293	20	13	21
gene1294	22	16	15
gene1295	17	22	25
gene1296	17	13	14
gene1297	28	22	19
gene1298	13	20	20
gene1299	35	28	27
gene1300	44	37	31
gene1301	17	17	26
gene1302	14	10	20
gene1303	14	16	19
gene1304	22	25	22
gene1305	20	10	22
gene1306	13	9	13
gene1307	11	13	19
gene1308	28	28	28
gene1309	11	19	19
gene1310	40	24	39
gene1311	19	19	15
gene1312	19	18	21
gene1313	24	26	18
gene1314	27	27	15
gene1315	16	16	22
gene1316	17	15	25
gene1317	24	32	41
gene1318	10	15	23
gene1319	10	18	15
gene1320	27	30	25
gene1321	28	28	24
gene1322	23	29	13
gene1323	24	26	29
gene1324	23	24	20
gene1325	26	29	24
gene1326	25	20	14
gene1327	27	17	15
gene1328	25	21	20
gene1329	23	21	27
gene1330	32	26	37
gene1331	21	14	24
gene1332	19	17	21
gene1333	20	21	20
gene1334	15	26	17
gene1335	16	13	22
gene1336	24	17	30
gene1337	16	11	13
gene1338	27	22	21
gene1339	17	20	13
gene1340	27	25	21
gene1341	11	4	13
gene1342	28	19	23
gene1343	9	13	10
gene1344	22	19	19
gene1345	9	19	15
gene1346	8	11	11
gene1347	20	16	25
gene1348	11	10	9
gene1349	26	17	23
gene1350	21	26	23
gene1351	24	28	20
gene1352	41	20	27
gene1353	26	23	45
gene1354	15	19	10
gene1355	11	24	9
gene1356	27	20	14
gene1357	8	20	14
gene1358	21	24	18
gene1359	32	31	29
gene1360	14	17	18
